Rank,PF3D7 Gene,"""Slow"" Importance","""Fast"" Importance",NULL Importance,Overall Importance
1,PF3D7_1245300,0.292,0.118,0,0.41
2,PF3D7_1107700,0.02,0.274,0,0.294
3,PF3D7_1328400,0.154,0.123,0,0.277
4,PF3D7_1372000,0.172,0.095,0,0.267
5,PF3D7_1115600,0.083,0.179,0,0.262
6,PF3D7_0608100,0,0,0.243,0.243
7,PF3D7_0523000,0.154,0.087,0,0.241
8,PF3D7_1205300,0,0.002,0.197,0.199
9,PF3D7_1129100,0.008,0.191,0,0.199
10,PF3D7_0935400,0.117,0.058,0,0.175
11,PF3D7_1246300,0.079,0.095,0,0.174
12,PF3D7_0805000,0.049,0.124,0,0.173
13,PF3D7_1356600,0,0,0.161,0.161
14,PF3D7_0624800,0.055,0.094,0,0.149
15,PF3D7_0914200,0.085,0.062,0,0.147
16,PF3D7_1446200,0.087,0.04,0,0.127
17,PF3D7_0610900,0,0,0.126,0.126
18,PF3D7_1129800,0.115,0.005,0,0.12
19,PF3D7_0711700,0.07,0.047,0,0.117
20,PF3D7_1038700,0.071,0.038,0,0.109
21,PF3D7_0727700,0.079,0.028,0,0.107
22,PF3D7_1349200,0.064,0.043,0,0.107
23,PF3D7_0823500,0,0,0.1,0.1
24,PF3D7_1220700,0,0.002,0.093,0.095
25,PF3D7_0208800,0.006,0.088,0,0.094
26,PF3D7_1106400,0.078,0.014,0,0.092
27,PF3D7_1428200,0.014,0.078,0,0.092
28,PF3D7_0802400,0.014,0.071,0,0.085
29,PF3D7_1318000,0.026,0.049,0,0.075
30,PF3D7_1359800,0.04,0.035,0,0.075
